company,role,job_url,location,remote_status,date_posted,salary,fit_score,status,application_datetime,resume_version,reason_skipped_blocked,notes,confirmation_number
Bjak,Founding AI Software Engineer (Remote),https://jobs.ashbyhq.com/bjakcareer/4eb18042-9a3a-4911-9ff5-0f4797fbb2a6,UNVERIFIED (Bjak is Malaysia-headquartered),Remote - US eligibility UNVERIFIED,UNVERIFIED,UNVERIFIED,66,Needs Verification,,v1-agents,,Verify that US-based applicants are eligible before applying - the mission requires US eligibility and this is an APAC company.,
Samsung Research America,"Internship (2 reqs, titles unread)",https://job-boards.greenhouse.io/samsungresearchamericainternship/jobs/8375384002,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,0,Needs Verification,,,Could not read page title or body - egress blocked,Second req: https://job-boards.greenhouse.io/samsungresearchamericainternship/jobs/8332828002 . Cannot score without reading the postings.,
C3 AI,Ascend Internship Program: Summer 2027,https://job-boards.greenhouse.io/c3ascend,UNVERIFIED,UNVERIFIED,"Board index, not a single req",UNVERIFIED,0,Needs Verification,,,"Board index URL, not an individual requisition",Enterprise AI applications. Open the board and score individual reqs; same May-2027 grad-window question applies.,
Anduril Industries,2027 Software Engineer Intern,https://job-boards.greenhouse.io/andurilindustries/jobs/5148079007?gh_jid=5148079007,UNVERIFIED,UNVERIFIED (defense work is typically onsite),UNVERIFIED,UNVERIFIED,58,Needs Input,,v1-swe,BLOCKING: US defense roles routinely require citizenship and/or clearance eligibility. Resume states neither. Per instructions I must not answer clearance or citizenship questions.,Do not submit until Ali supplies citizenship/clearance answers. Low AI relevance for his lane anyway.,
PDT Partners,Summer 2027 Software Engineering Intern,https://job-boards.greenhouse.io/pdtpartners/jobs/8077685,UNVERIFIED (PDT is NYC-based),UNVERIFIED - quant funds are near-universally onsite,UNVERIFIED,UNVERIFIED (quant internships pay very well),55,Skipped,,,"Fails the remote requirement in all likelihood, and AI/ML relevance is low for Ali's stated targeting priorities.",Kept in ledger for auditability. Revisit only if Ali drops the remote constraint.,
Google,"Software Engineering Intern, BS, Summer 2027",https://www.google.com/about/careers/applications/jobs/results/100648618540573382-software-engineering-intern-bs-summer-2027,UNVERIFIED,Google SWE internships are onsite/hybrid,UNVERIFIED,UNVERIFIED,0,Skipped,,,INELIGIBLE: search result states Google requires applicants to be in their penultimate academic year or returning to a degree program after the internship. A May 2027 graduate is in their FINAL year in 2026-27 and does not return.,Apply instead to Google's 2027 new-grad SWE reqs when they open.,
Intuit,Summer 2027 Software Engineering Intern - Full Stack,https://jobs.intuit.com/job/mountain-view/summer-2027-software-engineering-intern-full-stack/27595/99856180864,"Mountain View, CA",Onsite,UNVERIFIED,UNVERIFIED,0,Skipped,,,INELIGIBLE + not remote: Intuit requires an expected graduation date AFTER the internship ends. Cohorts end Aug 6 / Sep 3 2027; Ali graduates May 2027.,This is the clearest documented example of the grad-window rule that disqualifies Ali from most Summer 2027 internships.,
Rula,Sr. Staff AI Engineer - Applied AI (Remote),https://jobs.ashbyhq.com/rula/f2424794-c819-4f53-a8af-83322e617acb,Remote,Remote,UNVERIFIED,UNVERIFIED,50,Skipped,,,Sr. Staff level. The gap between an undergraduate with ~1.25 yrs of dated AI work and a Sr. Staff req is not a 'somewhat more experience' gap - it is several levels. Applying would be a bad-faith use of the recruiter's time.,Rula does have an applied-AI function though - worth watching for a junior/mid req on the same board.,
NewsBreak,Machine Learning Engineer (Junior & New Grad),https://job-boards.greenhouse.io/newsbreak/jobs/4338876006,"Bellevue, WA and Mountain View, CA","NOT remote (two named offices, per snippet)",UNVERIFIED,UNVERIFIED,67,Skipped,,,Fails the remote-eligible requirement: posting lists two specific US offices and no remote option.,"Seniority ('Junior & New Grad') is otherwise a good match. Revisit if Ali will consider relocation - that is his call to make, not mine.",
Handshake AI,AI Fellowship (model evaluation),https://joinhandshake.com/ai/opportunities/,Remote,"Remote, part-time",Rolling program,Up to $100/hr (per snippet),80,Skipped,,,Stated eligibility is PhD & Masters holders. Ali is an undergraduate - claiming eligibility would be fabricating a credential.,"Work content is a near-perfect match for his Mercor experience. Worth an email asking whether undergraduates with frontier-eval experience are considered - that is a legitimate ask, unlike a false application.",
TechNovaTime (Techstars),Founding Engineer,https://jobs.techstars.com/companies/technovatime/jobs/73782177-founding-engineer,UNVERIFIED,UNVERIFIED,"Posted April 9, 2026 (per snippet)",UNVERIFIED,0,Skipped,,,"Fails the <=7-day freshness filter: posted 2026-04-09, roughly 5 months old.",AI orchestration + computer-use workflows for healthcare; content would otherwise fit the agent-infrastructure lane.,
hapiy.ai (via Built In),Founding Software Engineer,https://builtin.com/job/founding-software-engineer/7188513,Remote Boston,Remote,~3 months ago (per snippet),UNVERIFIED,0,Skipped,,,Fails the <=7-day freshness filter (~3 months old per search snippet).,'Trust layer for enterprise AI'. Check whether a fresher req exists on their own site.,
Unnamed (via Built In),Machine Learning Engineer,https://builtin.com/job/machine-learning-engineer/4742093,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,0,Needs Verification,,,Aggregator listing; company and details unreadable without opening the page.,Built In is an aggregator - prefer finding this req on the company's own ATS to satisfy the 'prefer official application page' rule.,
Unnamed (via Built In),Founding Engineer,https://builtin.com/job/founding-engineer/4480044,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,0,Needs Verification,,,Aggregator listing; company and details unreadable without opening the page.,Same as above - resolve to the underlying ATS req before evaluating.,
